"X","fov","volume","center_x","center_y"
19906,1818,653.28871343588,10042.6615678247,8817.85942244219
20199,1818,570.20807442945,10135.9672246798,8807.50499625664
20200,1818,448.97048996505,10036.3352774204,8818.14814413167
15436,1865,365.470755212336,10259.7207948066,9001.76905413344
15437,1865,1484.2966758756,10270.3790427495,9008.91322425196
15438,1865,527.965817326906,10353.9104889671,9012.26470681528
15439,1865,565.902038527627,10339.2452074047,9027.08607091229
15440,1865,545.162893322423,10354.9294892922,9022.08683812818
15441,1865,504.508325560002,10352.7376278924,9055.89828076151
15442,1865,393.76302337475,10354.396110281,9088.7096828842
15443,1865,840.869652399151,10344.6725358856,9091.50422405378
15444,1865,162.255266533448,10335.6652829397,9090.94347923623
15508,1865,460.999899390013,10281.7985709435,9006.56817881996
15509,1865,501.839377622027,10328.0113714593,9031.79714343515
15510,1865,446.022984809822,10348.989594834,9035.074181544
15511,1865,336.006308220104,10334.4197268773,9058.27171463348
15512,1865,340.572833714428,10338.2264164892,9066.31538689627
15513,1865,633.16951229175,10341.8987663423,9070.42384157028
15514,1865,946.125268902301,10346.3352981029,9084.46248145876
19981,1865,235.210799577091,10287.9765050786,9005.12533170532
19982,1865,476.475522612921,10327.3430239746,9035.96096809757
20245,1865,336.044399856054,10277.3223799882,9007.59432042438
20246,1865,363.876440777743,10260.7683927699,9007.58763566471
20247,1865,470.783738381226,10355.849738742,9008.86136020653
21759,1865,1551.44957643042,10394.2480617091,9021.37656980473
21760,1865,248.901074558829,10338.5314245739,9020.5979316511
21762,1865,689.793304607799,10333.0669777309,9025.03651222604
21772,1865,552.580912361103,10361.9975784842,9030.95548486823
21775,1865,1495.40476320303,10386.0654512356,9035.16654153669
21790,1865,1171.91103501585,10355.9310477104,9045.37789548408
22055,1865,505.254273513234,10385.3423214906,9002.48146789355
22066,1865,383.905708872162,10367.2037263258,9038.41109273091
22068,1865,1012.78620275709,10327.6060141719,9043.16132483228
2583,1865,520.566645839836,10393.9516210576,9003.04974315006
2587,1865,689.693166515321,10363.1149157792,9005.91141838133
2592,1865,590.215135000182,10395.4958266161,9009.15625879451
2603,1865,518.412740802834,10344.5144899682,9016.35099946496
2604,1865,622.266170699676,10368.4729175917,9017.06999932846
2607,1865,643.035527519639,10326.8105648968,9023.68779173735
2613,1865,428.250302243162,10354.0744731961,9029.87555026395
2617,1865,194.843045931193,10338.0114773138,9037.80769038371
2622,1865,1423.15664343022,10345.7355450012,9048.92146847253
2626,1865,447.267904449447,10373.7476177507,9047.87860967703
2630,1865,889.850073667155,10329.4994666429,9049.87413738956
2631,1865,1212.76883568808,10389.1792563697,9051.68694939983
2636,1865,752.815368633479,10365.7989362516,9054.35135510212
2644,1865,838.027474013996,10365.0600513243,9060.06700033075
2655,1865,311.334470928551,10370.5671732271,9065.61209271345
2663,1865,915.740276720951,10378.2973116324,9073.53228381315
2669,1865,708.996163752275,10392.3328987884,9076.54453898793
2675,1865,532.155814653433,10374.4329582455,9079.76425887627
2686,1865,709.019292739671,10368.5561694576,9086.22234782242
2703,1865,544.60286673282,10396.9002877261,9096.38735799432
2719,1865,451.972674379442,10396.6218585129,9106.64225797189
3063,1865,549.034474922208,10366.5908391715,9001.51849309387
3065,1865,318.664698075128,10349.0610698678,9014.1079078767
3073,1865,368.642316357954,10344.6666402876,9022.59543119331
3083,1865,420.519863989423,10330.4866917364,9055.82664134223
3092,1865,621.477358595861,10354.7734694314,9065.76359701288
3093,1865,312.118929586168,10335.0986126105,9062.98445297335
3113,1865,616.945831889485,10361.9191301328,9084.21544347987
3116,1865,597.392001047083,10383.6087467579,9084.91539074693
3123,1865,598.195620735721,10369.7947185609,9091.4126624372
3128,1865,922.14975716695,10372.0157676501,9100.16928931469
3137,1865,560.171423838706,10375.3098188717,9106.89383214184
21731,1866,1615.22346813529,10499.9785078596,8998.3459740541
21739,1866,1447.48995243772,10415.2086789108,9005.5888540228
21741,1866,737.795078389242,10529.0804840605,8999.5782173278
21742,1866,683.165746604367,10552.3382732197,9000.50778469087
21743,1866,783.421349709728,10527.8079836588,9004.61805697324
21744,1866,440.43185719387,10482.860981844,9003.8296104843
21745,1866,251.046253831963,10477.7461095818,9003.60816627802
21746,1866,321.010783946507,10554.388134941,9005.56645613059
21747,1866,497.596613064459,10512.3360368807,9004.84170164123
21748,1866,565.465645263247,10566.067893478,9007.2085327781
21749,1866,545.20319185044,10425.3169258082,9009.94364657788
21753,1866,330.970704173542,10475.918106732,9010.39754507484
21755,1866,742.089035001297,10447.9879158302,9013.93381582436
21757,1866,178.793971900356,10461.7742042231,9014.30439798325
21758,1866,793.379786233351,10502.7499262701,9019.63926846037
21761,1866,1031.6435028927,10580.3414598857,9026.08946150193
21767,1866,770.024399090694,10546.3666569893,9024.11385901065
21768,1866,651.802065327768,10480.259742957,9025.62582913436
21770,1866,741.146945433221,10520.0137043611,9026.38021274609
21771,1866,896.91210725531,10435.8759048599,9029.32608428412
21774,1866,752.467373606446,10430.116185696,9033.28845810832
21777,1866,719.611433429781,10548.9402744388,9032.24833841516
21778,1866,793.764275226246,10470.9930996824,9033.0701300258
21779,1866,894.15913038822,10481.5713088303,9036.12493187016
21780,1866,1235.95812056751,10566.2953977145,9037.71069478769
21783,1866,785.365981297215,10406.4453608619,9040.59529116207
21784,1866,589.218729663486,10489.7468089898,9040.53486243369
21786,1866,196.831276474903,10398.9960129545,9038.80862992471
21787,1866,536.155496734076,10427.0134960637,9040.07136727773
21788,1866,1438.75787968303,10444.3603829763,9043.45998008089
21791,1866,646.577213498646,10471.760656659,9045.0474681064
21792,1866,431.498335241371,10538.0733997938,9044.72828889496
21795,1866,456.276622032382,10407.0995665037,9048.96032781627
21796,1866,1090.35245010118,10419.1500272559,9050.69202486816
22053,1866,768.692057112122,10426.0710981753,9001.49222217305
22057,1866,594.156903792517,10570.6988105771,9015.22482686935
22062,1866,499.199713222264,10464.2253549189,9026.31692174352
22063,1866,354.404755413435,10488.2520029796,9027.00789458276
22064,1866,382.695460722473,10420.9894373661,9033.92738767925
22070,1866,397.775389415515,10562.7238781447,9049.74558760467
2581,1866,506.128192812094,10434.2852983925,9000.69893391237
2582,1866,477.570754608073,10463.2573045723,9000.85064853813
2585,1866,736.716039337941,10445.9989573606,9003.78949528441
2586,1866,634.683180963169,10560.0677668725,9005.03715825977
2588,1866,1018.99295267442,10454.9417732275,9006.65659499128
2589,1866,1023.78794187348,10409.5436223293,9010.97200867765
2590,1866,810.214539257201,10521.7316985455,9008.82044511856
2591,1866,734.696154125287,10543.7121967481,9007.052528251
2594,1866,285.163609721185,10571.9550116448,9008.3031076616
2595,1866,293.045368599409,10400.9532432801,9012.36601169831
2596,1866,397.652691055008,10467.0214243151,9010.44202626075
2599,1866,422.972166353887,10515.833891094,9012.91004461669
2600,1866,179.230353215439,10433.6322076758,9012.55967112012
2601,1866,1142.42196423985,10576.8939819074,9018.60585318254
2605,1866,660.630825073614,10468.1785308555,9019.61971275469
2606,1866,384.581526968229,10439.8563424902,9020.84917000088
2608,1866,1255.33314289015,10531.0862248887,9026.08580360559
2610,1866,839.401157519255,10407.323101462,9025.27365034121
2611,1866,1504.59342855059,10595.5334778339,9032.69678208905
2612,1866,847.559571619071,10560.7563317781,9029.60932010107
2614,1866,1552.82974827863,10453.2400879351,9032.34681309944
2615,1866,1215.08837417689,10526.0626370078,9035.47383965889
2621,1866,1373.46673977235,10582.5391766,9045.0479963252
2623,1866,739.528803420684,10527.4296406938,9043.6733779952
2624,1866,649.831517772271,10592.965099242,9045.7553084161
2625,1866,890.993077662756,10488.3852928286,9049.34566127645
2629,1866,868.454081656195,10544.9858698543,9051.48342731966
2633,1866,1520.04829380722,10432.5586087964,9052.90674454017
2635,1866,1119.41060914149,10533.5109272834,9053.1763049331
2637,1866,1159.20807785967,10575.3230050237,9057.78505388066
2638,1866,811.557663648128,10586.8214825752,9056.22018897746
2642,1866,1618.99495944622,10564.9745411404,9061.31809084246
2646,1866,937.180397554735,10404.569933329,9061.99302245086
2648,1866,433.538531743397,10484.8689547904,9061.09412369208
2649,1866,332.035389567531,10411.8886614407,9061.36446696339
2650,1866,565.455549645804,10533.0608443097,9065.50903896286
2654,1866,899.606504489011,10591.7517438722,9068.24850805684
2656,1866,704.966964130172,10541.1171439218,9069.00355526302
2657,1866,521.926186345742,10493.605241345,9067.35415542495
2658,1866,726.239171272033,10417.6870652185,9069.63640977768
2660,1866,240.491244886821,10488.6424921326,9069.93172113448
2661,1866,1253.35355231655,10512.7256695495,9072.47600884313
2664,1866,1441.88507199257,10476.7274590107,9075.73577205862
2666,1866,831.262552986306,10498.8839634317,9076.41932483299
2668,1866,1450.06009466811,10580.8183081908,9079.6128897365
2670,1866,344.109912369932,10568.6639850904,9075.58170042787
2671,1866,753.505407112528,10562.1196692303,9078.32163272579
2672,1866,533.459501466696,10423.2252967026,9078.23727355786
2673,1866,356.724288694385,10407.4255849361,9077.96236914793
